passer_player_name,total_gwd_attempts,successful_gwd_attempts,pct_successful_gwd,games_with_gwd_attempt,games_won_with_gwd_attempt,pct_won_when_gwd_attempt,games_with_successful_gwd,games_won_after_successful_gwd,pct_won_after_successful_gwd
B.Purdy,19,3,0.15789473684210525,11,3,0.2727272727272727,2,2,1
T.Jackson,19,3,0.15789473684210525,12,2,0.16666666666666666,2,2,1
K.Warner,32,5,0.15625,22,5,0.22727272727272727,4,2,0.5
K.Stewart,13,2,0.15384615384615385,8,3,0.375,1,1,1
J.Harrington,33,5,0.15151515151515152,22,5,0.22727272727272727,4,4,1
S.Wallace,20,3,0.15,11,2,0.18181818181818182,2,2,1
S.Beuerlein,21,3,0.14285714285714285,9,2,0.2222222222222222,2,2,1
C.Daniel,7,1,0.14285714285714285,3,0,0,1,0,0
J.Harbaugh,7,1,0.14285714285714285,6,0,0,1,0,0
T.Savage,7,1,0.14285714285714285,5,1,0.2,1,1,1
A.Wright,15,2,0.13333333333333333,9,3,0.3333333333333333,1,1,1
J.Locker,8,1,0.125,5,1,0.2,1,1,1
C.Batch,24,3,0.125,13,2,0.15384615384615385,3,1,0.3333333333333333
B.Zappe,8,1,0.125,5,1,0.2,1,1,1
B.Weeden,8,1,0.125,6,0,0,1,0,0
N.O'Donnell,17,2,0.11764705882352941,4,1,0.25,1,1,1
J.Fields,35,4,0.11428571428571428,21,3,0.14285714285714285,2,2,1
M.McMahon,9,1,0.1111111111111111,6,0,0,0,0,
T.Bouman,9,1,0.1111111111111111,5,0,0,1,0,0
T.Bridgewater,28,3,0.10714285714285714,18,3,0.16666666666666666,2,2,1
D.Marino,28,3,0.10714285714285714,3,1,0.3333333333333333,2,1,0.5
T.Rattay,10,1,0.1,7,1,0.14285714285714285,0,0,
A.O'Connell,10,1,0.1,5,1,0.2,1,1,1
L.McCown,10,1,0.1,7,1,0.14285714285714285,1,1,1
E.Grbac,41,4,0.0975609756097561,13,3,0.23076923076923078,2,2,1
S.Matthews,11,1,0.09090909090909091,5,1,0.2,1,1,1
K.Kolb,12,1,0.08333333333333333,7,1,0.14285714285714285,1,1,1
